Name,Author,Version,Pack,Slider
Classic,Stan le Punk,0.0.1,Base 2013-2019,hue/saturation/brightness/refresh
Cellular,Josh P,0.0.1,Base 2016-2019,hue/saturation/brightness/refresh/quality/quantity/speed X/speed Y
Heart,Josh P,0.0.1,Base 2016-2019,hue/saturation/brightness/refresh/quality/quantity/angle/strength/speed X
Necklace,Sandbox,0.0.1,Base 2016-2019,refresh/quantity/size/speed X/position X/position Y
Psy,Sandbox,0.0.1,Base 2016-2019,quantity/speed X
Snow,Sandbox,0.0.1,Base 2016-2019,hue/saturation/brightness/speed X/quality
Voronoi Hex,MOJO from ISF,0.0.1,Base 2019-2019,hue/saturation/brightness/size/speed X/speed Y/threshold/strength
