Slider Name,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15
général,Couleur,Saturation,Luminosité,Rafraichissement,Gauche,Droite,TYPOGRAPHIE,RIDEAU,,,,,,,
Light,Couleur,Saturation,Luminosité,,,,,,,,,,,,
camera,Focale 28-200,Déformation,Direction X,Direction Y,Direction Z,Position X,Position Y,Position Z,Assiestte,,,,,,
slider 1,Couleur,Saturation,Luminosité,Opacité,Couleur,Saturation,Luminosité,Opacité,Épaisseur,,,,,,
slider 2,Longueur,Hauteur,Profondeur,Canvas X,Canvas Y,Canvas Z,Famille,Quantité,Durée,,,,,,
slider 3,Vitesse,Direction,Angle,Amplitude,Attraction,Répulsion,Alignement,Influence,Analyse,,,,,,
